feature,importance
avg_order_value_usd,0.9251691147257691
age,0.005207102182912493
days_to_return,0.004766854899233568
account_age_days,0.004577571041692648
total_orders_lifetime,0.00398630085991368
total_returns_lifetime,0.003903981385941614
return_rate_pct,0.003726994654527514
wishlist_to_cart_time_hrs,0.003310312150736576
fraud_signal_score,0.0024793576741221715
customer_support_contacts,0.002299641488025429
previous_dispute_count,0.002139640114226145
return_to_order_ratio,0.0019166895717362738
